File: drive/output/derived/org_outcomes_practices/org_panel/important_degree_top3/rolling5/panel.parquet

MD5 hash: 3555cb37477cac54ab8ef08532479e1a

Keys: repo_name time_period 

                                                                       type   count  unique                           mean                  min                  25%                  50%                  75%                  max             std
repo_name                                                            object  301220   23030                                                                                                                                                        
time_period                                                  datetime64[ns]  301220          2021-05-22 07:19:45.244007680  2015-01-01 00:00:00  2019-07-01 00:00:00  2022-01-01 00:00:00  2023-07-01 00:00:00  2025-01-01 00:00:00                
avg_pull_request_review_exclude_opener_count_imp                    float64   70264                               1.019617             0.000994             0.393443             0.890209                1.375            29.666667        0.902669
pull_request_review_commented_pos_sentiment_avg                     float64   44255                               0.184492                  0.0              0.07961              0.15925                0.246                  1.0        0.161067
pull_request_review_commented_neg_sentiment_avg                     float64   44255                               0.024468                  0.0                  0.0             0.010167             0.030333                  1.0        0.046993
pull_request_review_commented_ov_sentiment_avg                      float64   44255                               0.185387              -0.8591             0.069941               0.1806               0.2846               0.9679        0.179823
pull_request_review_commented_pos_sentiment_avg_imp                 float64   44006                               0.184095                  0.0             0.080275               0.1593                0.246                  1.0        0.159812
pull_request_review_commented_neg_sentiment_avg_imp                 float64   44006                               0.024494                  0.0                  0.0             0.010333             0.030404                  1.0        0.046892
pull_request_review_commented_ov_sentiment_avg_imp                  float64   44006                               0.185434              -0.8591               0.0707               0.1806             0.284125               0.9679        0.179288
pull_request_review_approved_pos_sentiment_avg                      float64   59288                               0.332864                  0.0             0.159829                0.306             0.476691                  1.0        0.237598
pull_request_review_approved_neg_sentiment_avg                      float64   59288                               0.012752                  0.0                  0.0                  0.0             0.013499                  1.0        0.032858
pull_request_review_approved_ov_sentiment_avg                       float64   59288                               0.265803              -0.6895             0.142719             0.268172             0.393909               0.9515        0.182018
pull_request_review_changes_requested_pos_sentiment_avg             float64   39530                               0.166509                  0.0             0.083194                 0.15             0.228894                  1.0        0.125385
pull_request_review_changes_requested_neg_sentiment_avg             float64   39530                               0.029886                  0.0                  0.0             0.014091             0.037202                0.778        0.054308
pull_request_review_changes_requested_ov_sentiment_avg              float64   39530                               0.178495              -0.8074             0.066915             0.175105             0.279326               0.9081         0.17982
pull_request_review_approved_pos_sentiment_avg_imp                  float64   58726                               0.332477                  0.0             0.160464              0.30575             0.475103                  1.0        0.236586
pull_request_review_approved_neg_sentiment_avg_imp                  float64   58726                               0.012799                  0.0                  0.0                  0.0             0.013601                  1.0        0.032673
pull_request_review_approved_ov_sentiment_avg_imp                   float64   58726                               0.265589              -0.6895             0.143138             0.267756             0.392644               0.9515         0.18155
pull_request_review_changes_requested_pos_sentiment_avg_imp         float64   39348                               0.166453                  0.0             0.083314                 0.15              0.22875                  1.0        0.125159
pull_request_review_changes_requested_neg_sentiment_avg_imp         float64   39348                               0.029893                  0.0                  0.0             0.014167             0.037199                0.778         0.05431
pull_request_review_changes_requested_ov_sentiment_avg_imp          float64   39348                                0.17843              -0.8074             0.067433             0.175105              0.27926               0.9081        0.179548
pull_request_review_dismissed_pos_sentiment_avg                     float64    9369                               0.210073                  0.0                0.055             0.169333             0.306238                  1.0         0.19627
pull_request_review_dismissed_neg_sentiment_avg                     float64    9369                                0.02229                  0.0                  0.0                  0.0             0.025031                0.767        0.046165
pull_request_review_dismissed_ov_sentiment_avg                      float64    9369                               0.192347              -0.7574               0.0256             0.187364             0.320823               0.9032        0.199034
pull_request_review_dismissed_pos_sentiment_avg_imp                 float64    9369                               0.210073                  0.0                0.055             0.169333             0.306238                  1.0         0.19627
pull_request_review_dismissed_neg_sentiment_avg_imp                 float64    9369                                0.02229                  0.0                  0.0                  0.0             0.025031                0.767        0.046165
pull_request_review_dismissed_ov_sentiment_avg_imp                  float64    9369                               0.192347              -0.7574               0.0256             0.187364             0.320823               0.9032        0.199034
pull_request_merged_pos_sentiment_avg                               float64     309                               0.023148                  0.0                  0.0                  0.0                  0.0                0.403        0.061802
pull_request_merged_neg_sentiment_avg                               float64     309                               0.546393                  0.0             0.065435                0.524                  1.0                  1.0        0.428748
pull_request_merged_ov_sentiment_avg                                float64     309                              -0.166301               -0.296               -0.296               -0.296            -0.010681               0.4019        0.162933
pull_request_merged_pos_sentiment_avg_imp                           float64     309                               0.023148                  0.0                  0.0                  0.0                  0.0                0.403        0.061802
pull_request_merged_neg_sentiment_avg_imp                           float64     309                               0.546393                  0.0             0.065435                0.524                  1.0                  1.0        0.428748
pull_request_merged_ov_sentiment_avg_imp                            float64     309                              -0.166301               -0.296               -0.296               -0.296            -0.010681               0.4019        0.162933
pull_request_closed_pos_sentiment_avg                               float64      92                               0.015326                  0.0                  0.0                  0.0              0.02375               0.1565        0.031408
pull_request_closed_neg_sentiment_avg                               float64      92                               0.528659                  0.0             0.034104                0.524                  1.0                  1.0        0.459325
pull_request_closed_ov_sentiment_avg                                float64      92                              -0.174657             -0.64445               -0.296               -0.296            -0.061462              0.34735        0.179941
pull_request_closed_pos_sentiment_avg_imp                           float64      92                               0.015326                  0.0                  0.0                  0.0              0.02375               0.1565        0.031408
pull_request_closed_neg_sentiment_avg_imp                           float64      92                               0.528659                  0.0             0.034104                0.524                  1.0                  1.0        0.459325
