event_time,estimate,sd,ci_low,ci_high,dataset,rolling,category,outcome,normalize,method,covar,split_value,estimation_type
8,-1.305404060184431,0.4623599340486279,-2.211629530919742,-0.3991785894491203,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
9,-1.2774643730128186,0.34456093107229435,-1.9528037979145156,-0.6021249481111216,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
10,-0.3029867549842714,1.0565875562426787,-2.3738983652199215,1.7679248552513789,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
11,-0.46420610987146416,0.9183999667406108,-2.264270044683061,1.335857824940133,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
12,1.039287587349109,2.339513456867869,-3.5461587881119145,5.624733962810132,NA,rolling5_kfold_depth1_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_kfold_depth1_default,0,observed
-14,-2.9328991204911805,2.04548496460295,-6.942049651112963,1.0762514101306015,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-13,2.3081776800613723,1.198711535779184,-0.04129693006582835,4.657652290188572,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-12,-0.36774429676818743,1.3437505798041194,-3.001495433184261,2.2660068396478863,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-11,0.5403728230633832,1.0688520360727087,-1.5545771676391258,2.6353228137658924,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-10,0.7099207992744365,0.8845522331453565,-1.023801577690462,2.443643176239335,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-9,0.5748541027906791,0.8859316666256422,-1.1615719637955795,2.3112801693769374,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-8,1.1863221549228784,0.6433205038258196,-0.07458603257572793,2.4472303424214847,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-7,1.3383779755149223,0.5222527656185374,0.314762554902589,2.3619933961272555,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-6,1.2744239072503596,0.4212785694760144,0.44871791107737136,2.1001299034233476,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-5,0.5958896007416069,0.2415100805047473,0.12252984295230224,1.0692493585309115,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-4,0.5593489686605871,0.21174398651758217,0.14433075508612608,0.9743671822350481,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-3,0.4574507423739314,0.17594990504460892,0.11258892848649793,0.8023125562613649,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-2,0.4246295168478841,0.16206448168326776,0.10698313274867927,0.742275900947089,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-1,0,0,0,0,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
0,0.12885246554807528,0.19927840479349965,-0.261733207847184,0.5194381389433346,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
1,-0.5984827955403342,0.17179103257649628,-0.935193219390267,-0.2617723716904015,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
2,-0.7526043403045911,0.22850628805201637,-1.2004766648865433,-0.304732015722639,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
3,-0.33172294901364874,0.3188976658824688,-0.9567623741432876,0.2933164761159901,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
4,-0.5314202520372544,0.3619912804901853,-1.2409231617980176,0.17808265772350884,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
5,-0.49129984149858347,0.304012592687391,-1.0871645231658698,0.10456484016870288,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
6,-0.5445675563403569,0.31227296256347875,-1.1566225629647753,0.06748745028406145,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
7,-0.44917773296230745,0.48827990236898794,-1.406206341605524,0.5078508756809089,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
8,-0.49459242938315984,0.5251467969278563,-1.5238801513617581,0.5346952925954385,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
9,-0.7803950216523384,0.4080301639328998,-1.580134142960822,0.01934409965614514,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
10,-0.2613674800917752,1.2467893575194895,-2.7050746208299743,2.182339660646424,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
11,-0.21393586640712514,1.3060412543049047,-2.7737767248447387,2.345904992030488,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
12,1.833307341725732,2.8190205841222804,-3.6919730031539375,7.358587686605401,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,1,observed
-14,-1.587690157548759,0.7636879254181391,-3.0845184913683115,-0.09086182372920626,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,0,observed
-13,-0.3948172490295627,0.6084617224188335,-1.5874022249704762,0.7977677269113508,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,0,observed
-12,-0.5495711903956367,0.4737463638978149,-1.478114063635354,0.37897168284408045,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,0,observed
-11,-0.21874417698963272,0.7138775827000022,-1.6179442390816372,1.1804558851023716,NA,rolling5_depth2_default,github_outcomes,pull_request_opened,TRUE,sa,policy_tree_group_depth2_default,0,observed
