,repo_name,had_common_issue,time_index,treatment_group,pct_coop_comments_bin_2,pr_opener,commits,issue_number,issue_comments,contributors
269,aio-libs/aiorwlock,False,11,14.0,1.0,0.0,0.0,1.0,1.0,1
270,aio-libs/aiorwlock,False,12,14.0,1.0,4.0,26.0,1.0,1.0,4
271,aio-libs/aiorwlock,False,13,14.0,1.0,1.0,2.0,0.0,0.0,3
272,aio-libs/aiorwlock,False,14,14.0,1.0,20.0,50.0,0.0,0.0,2
273,aio-libs/aiorwlock,False,15,14.0,1.0,28.0,65.0,0.0,0.0,2
274,aio-libs/aiorwlock,False,16,14.0,1.0,27.0,63.0,0.0,0.0,1
275,aio-libs/aiorwlock,False,17,14.0,1.0,19.0,51.0,0.0,0.0,2
276,aio-libs/aiorwlock,True,10,14.0,1.0,29.0,60.0,0.0,0.0,2
277,aio-libs/aiorwlock,True,11,14.0,1.0,25.0,50.0,0.0,0.0,2
278,aio-libs/aiorwlock,True,12,14.0,1.0,19.0,38.0,0.0,0.0,2
279,aio-libs/aiorwlock,True,13,14.0,1.0,26.0,54.0,0.0,0.0,2
280,aio-libs/aiorwlock,True,14,14.0,1.0,0.0,0.0,0.0,0.0,1
281,aio-libs/aiorwlock,True,15,14.0,1.0,0.0,0.0,0.0,0.0,1
282,aio-libs/aiorwlock,True,16,14.0,1.0,0.0,0.0,0.0,0.0,1
283,aio-libs/yarl,False,9,13.0,1.0,4.0,7.0,19.0,29.0,14
284,aio-libs/yarl,False,10,13.0,1.0,5.0,11.0,18.0,24.0,26
285,aio-libs/yarl,False,11,13.0,1.0,4.0,4.0,10.0,12.0,15
286,aio-libs/yarl,False,12,13.0,1.0,13.0,25.0,36.0,77.0,36
287,aio-libs/yarl,False,13,13.0,1.0,0.0,0.0,1.0,1.0,2
288,aio-libs/yarl,False,14,13.0,1.0,0.0,0.0,2.0,4.0,2
289,aio-libs/yarl,False,15,13.0,1.0,0.0,0.0,2.0,2.0,2
290,aio-libs/yarl,False,16,13.0,1.0,0.0,1.0,2.0,2.0,3
291,aio-libs/yarl,True,9,13.0,1.0,0.0,4.0,6.0,13.0,3
292,aio-libs/yarl,True,10,13.0,1.0,50.0,147.0,23.0,35.0,4
293,aio-libs/yarl,True,11,13.0,1.0,42.0,88.0,6.0,10.0,4
294,aio-libs/yarl,True,12,13.0,1.0,36.0,109.0,43.0,80.0,4
295,aio-libs/yarl,True,13,13.0,1.0,0.0,3.0,6.0,9.0,3
296,aio-libs/yarl,True,14,13.0,1.0,4.0,18.0,12.0,14.0,3
297,aio-libs/yarl,True,15,13.0,1.0,1.0,4.0,4.0,4.0,3
